,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
214157,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Inter Relatated Resource,,,,,1,,,INTERRELATED ,47732.07,SPECIAL EDUCATION CATEGORY III,General Fund,
341782,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",,,,,,NON-PROJECT,,UNDESIGNATED,-28.25,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
29389,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",,,,,,NON-PROJECT,,UNDESIGNATED,-463.01,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
269605,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,19.17512,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
381109,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,TEACHER BACHELOR,152.6310199,Basic Educational Services,General Operating Fund,REGULAR PAY
370555,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,,,,,All Sports,Incentives (Perishable Supply),Undistributed,,Extracurricular Activities,Athletic Department,,3693.59,Athletics And Related Activities,General Operating Fund,
295692,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, SOC STUDIES-MIDDLE   ",,,,School ,1,BASIC (FEFP K-12)             ,,,49676.60109,,GENERAL FUND                  ,
440127,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,1945.237692,Basic Educational Services,General Operating Fund,REGULAR PAY
444226,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, SPECIAL EDUCATION",,,Salaries And Wages For Teachers And Other Professi,School ,0.88,Instruction,All Campus Payroll,TEACHER BACHELOR,66465.18268,Services To Students With Disabilities (Special Education),General Operating Fund,REGULAR PAY
151100,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,First Class,,,0,,,TIME CARD CERTIFIEDAddl,272.22,Support - Regular Instruction,School Projects,First Class
